pdf,section_number,status,before,after
2001-11-14_r71_ORDINARIA.pdf,54,recovered,,54 Modificación de la Ley de Personas con Discapacidad
2001-11-14_r71_ORDINARIA.pdf,55,recovered,,55 Objeción de conciencia en el arte de curar
2001-11-14_r71_ORDINARIA.pdf,56,recovered,,56 Campaña nacional de inscripción de donantes de órganos
2001-11-14_r71_ORDINARIA.pdf,57,recovered,,57 Firma digital
2001-11-14_r71_ORDINARIA.pdf,58,recovered,,58 Convenio Marco de Reconversión Vial en La Pampa
2001-11-14_r71_ORDINARIA.pdf,59,recovered,,59 Creación del Instituto de Promoción de la Carne Vacuna Argentina
2001-11-14_r71_ORDINARIA.pdf,60,recovered,,60 Limitación de afectaciones
2001-11-14_r71_ORDINARIA.pdf,61,recovered,,61 Autorización para realizar adecuaciones presupuestarias
2001-11-14_r71_ORDINARIA.pdf,62,recovered,,"62 Programa ""Encuentro para el consenso"""
2001-11-14_r71_ORDINARIA.pdf,63,recovered,,63 Prórroga de pensiones graciables
2001-11-14_r71_ORDINARIA.pdf,64,recovered,,64 Derecho real de superficie forestal
2001-11-14_r71_ORDINARIA.pdf,65,recovered,,"65 Transferencia de un Inmueble a la Municipalidad de Puerto Rico, Misiones"
2001-11-14_r71_ORDINARIA.pdf,66,recovered,,66 Transferencia de tierras a la provincia de San Juan
2001-11-14_r71_ORDINARIA.pdf,67,recovered,,"67 Transferencia de dos inmuebles a la Municipalidad de Comodoro Rivadavia, Chubut"
2001-11-14_r71_ORDINARIA.pdf,68,recovered,,68 Transferencia de un terreno a la Municipalidad de Salta
2001-11-14_r71_ORDINARIA.pdf,69,recovered,,"69 Transferencia de un inmueble a la Municipalidad de Montecarlo, Misiones"
2001-11-28_r73_ORDINARIA.pdf,1,completed,1,1 Izamiento de la bandera nacional
2001-11-28_r73_ORDINARIA.pdf,3,recovered,,3 Asuntos Entrados
2001-11-28_r73_ORDINARIA.pdf,4,recovered,,4 Incorporación de temas al plan de labor
2001-11-28_r73_ORDINARIA.pdf,5,completed,5,5 Plan de Labor
2001-11-28_r73_ORDINARIA.pdf,6,recovered,,6 Aceptación de renuncia y designación de integrante ante la CONEAU
2001-11-28_r73_ORDINARIA.pdf,8,recovered,,8 Moción de cuarto intermedio
2001-11-28_r73_ORDINARIA.pdf,9,recovered,,9 Acuerdos (continuación)
2001-11-28_r73_ORDINARIA.pdf,10,recovered,,10 Gira de un músico a la Base Marambio
2001-11-28_r73_ORDINARIA.pdf,11,recovered,,11 Convenio Cultural Regional para Cuyo
2001-11-28_r73_ORDINARIA.pdf,12,recovered,,12 Escultura en Madera - Piedra - Hierro
2001-11-28_r73_ORDINARIA.pdf,13,recovered,,13 Reglamentación de la ley 25.300
2001-11-28_r73_ORDINARIA.pdf,14,recovered,,14 Derogación de resolución ministerial
2001-11-28_r73_ORDINARIA.pdf,15,recovered,,15 Premio por la Selección Femenina de Hóckey sobre Césped en Holanda
2001-11-28_r73_ORDINARIA.pdf,16,recovered,,16 Torneo de las Américas
2001-11-28_r73_ORDINARIA.pdf,17,recovered,,"17 Premio obtenido por el Seleccionado Nacional de Basquetbol Sub-21, en Japón"
2001-11-28_r73_ORDINARIA.pdf,18,recovered,,"18 Campeonato Mundial de Beach Volley, en Austria"
2001-11-28_r73_ORDINARIA.pdf,19,recovered,,19 Mantenimiento de un tramo de ruta en Mendoza
2001-11-28_r73_ORDINARIA.pdf,20,recovered,,20 Construcción de obras en una intersección de rutas en Entre Ríos
2001-11-28_r73_ORDINARIA.pdf,21,recovered,,21 Alternativas del corredor bioceánico
2001-11-28_r73_ORDINARIA.pdf,22,recovered,,22 Continuación de la construcción de la Autopista Mesopotámica
2001-11-28_r73_ORDINARIA.pdf,23,recovered,,"23 Señalización de un cruce de rutas en Chabas, Santa fe"
2001-11-28_r73_ORDINARIA.pdf,24,recovered,,"24 Obras en el cruce de rutas en Chabas, Santa Fe"
2001-11-28_r73_ORDINARIA.pdf,25,recovered,,25 Reparación y señalización de un tramo de la autopista Buenos Aires-Rosario
2001-11-28_r73_ORDINARIA.pdf,26,recovered,,26 Planes de competitividad para empresas
2001-11-28_r73_ORDINARIA.pdf,27,recovered,,27 Encuentros Uritorco
2001-11-28_r73_ORDINARIA.pdf,28,recovered,,28 Convenio de Competitividad Algodonero
2001-11-28_r73_ORDINARIA.pdf,29,recovered,,"29 Inundaciones en Córdoba, Santa Fe, Buenos Aires y La Pampa"
2001-11-28_r73_ORDINARIA.pdf,30,recovered,,30 Repudio por los recortes presupuestarios al Instituto Malbrán
2001-11-28_r73_ORDINARIA.pdf,31,recovered,,31 Pérdidas producidas por un tornado en Santiago del Estero
2001-11-28_r73_ORDINARIA.pdf,32,recovered,,32 Levantamiento de un ramal ferroviario en Mendoza
2001-11-28_r73_ORDINARIA.pdf,33,recovered,,33 Accidente carretero en el Neuquén
2001-11-28_r73_ORDINARIA.pdf,34,recovered,,34 Medidas de seguridad en entidades financieras
2001-11-28_r73_ORDINARIA.pdf,35,recovered,,35 II Workshop de Turismo del Litoral
2001-11-28_r73_ORDINARIA.pdf,36,recovered,,36 Legión de Honor al señor Juan García
2001-11-28_r73_ORDINARIA.pdf,37,recovered,,37 Mercado de Carnes
2001-11-28_r73_ORDINARIA.pdf,38,recovered,,"38 Habilitación definitiva del puerto de Diamante, Entre Ríos"
2001-11-28_r73_ORDINARIA.pdf,39,recovered,,39 Beatificación de la madre María del Tránsito Cabanillas
2001-11-28_r73_ORDINARIA.pdf,40,recovered,,40 Comisión investigadora sobre presuntas maniobras de lavado de dinero y evasión impositiva
2001-11-28_r73_ORDINARIA.pdf,41,recovered,,41 Concesiones de rutas nacionales bajo el sistema de peaje
2001-11-28_r73_ORDINARIA.pdf,42,recovered,,42 Creación de la tasa nacional de fiscalización del transporte ferroviario
2001-11-28_r73_ORDINARIA.pdf,44,recovered,,"44 Transferencia de un inmueble en General Pico, La Pampa"
2001-11-28_r73_ORDINARIA.pdf,45,recovered,,45 Régimen para empresas de base tecnológica
2001-11-28_r73_ORDINARIA.pdf,46,recovered,,46 Extensión del ciclo lectivo
2001-11-28_r73_ORDINARIA.pdf,47,recovered,,47 Modificación de la ley de zonas francas
2001-11-28_r73_ORDINARIA.pdf,48,recovered,,48 Intangibilidad de fondos de coparticipación federal
2001-11-28_r73_ORDINARIA.pdf,49,recovered,,49 Control de las operaciones de seguridad interior
2001-11-28_r73_ORDINARIA.pdf,50,recovered,,50 Modificación del Código Civil
2001-11-28_r73_ORDINARIA.pdf,51,recovered,,51 Limitación de afectaciones sobre recursos tributarios coparticipables - Modificación del plan de labor
2001-11-28_r73_ORDINARIA.pdf,52,recovered,,52 Moción de postergación
2001-11-28_r73_ORDINARIA.pdf,53,recovered,,"53 Expropiación de tierras en Tartagal, Salta"
2001-11-28_r73_ORDINARIA.pdf,54,recovered,,"54 Creación de Juzgado de Primera Instancia en Cutral-Có, Neuquén"
2001-11-28_r73_ORDINARIA.pdf,55,recovered,,55 Partidas presupuestarias para la realización de obras compensadoras en el río Neuquén
2001-11-28_r73_ORDINARIA.pdf,56,recovered,,56 Limitación de afectaciones sobre recursos tributarios coparticipables (continuación)
2001-11-28_r73_ORDINARIA.pdf,57,recovered,,57 Prestación de servicios hidrocarburíferos periféricos
2001-11-28_r73_ORDINARIA.pdf,58,recovered,,58 Modificación del impuesto a los bienes personales
2001-11-28_r73_ORDINARIA.pdf,59,recovered,,59 Ayuda escolar anual para jubilados y pensionados
2001-11-28_r73_ORDINARIA.pdf,60,recovered,,"60 República de los Niños"""
2001-11-28_r73_ORDINARIA.pdf,61,recovered,,61 Compre argentino”
2001-11-28_r73_ORDINARIA.pdf,62,recovered,,62 Plan de Reconversión Productiva Patagónica
2001-11-28_r73_ORDINARIA.pdf,63,recovered,,63 Ley Federal de la Marina Mercante - Vuelta a comisión
2001-11-28_r73_ORDINARIA.pdf,64,recovered,,64 Derogación del decreto 1.378/01 de eliminación de subsidio establecido para la provincia de Santa Cruz
2001-11-28_r73_ORDINARIA.pdf,65,recovered,,65 Declaración de estado de emergencia del transporte aerocomercial
2001-11-28_r73_ORDINARIA.pdf,66,recovered,,66 Inclusión de los azúcares líquidos en el arancelamiento en materia azucarera
